ListSize,countSort_Ops,countSort_Time,heapSort_Ops,heapSort_Time,mapSort_Ops,mapSort_Time
88478,353894,0.000401,3355324,0.015836,18049513,0.017581
80869,323458,0.000239,3041059,0.013976,16497277,0.014625
56311,225214,0.000196,2043732,0.009811,11487445,0.009319
4882,19528,0.000057,134144,0.000624,995929,0.000919
11704,46804,0.000105,358596,0.001803,2387617,0.001948
86846,347357,0.000265,3287851,0.015268,17716585,0.018175
81500,325967,0.000279,3066417,0.014539,16626001,0.014615
41376,165498,0.000201,1455532,0.006624,8440705,0.007623
44782,179113,0.000204,1589049,0.007257,9135529,0.008249
37947,151779,0.000194,1323344,0.006100,7741189,0.007136
58002,231999,0.000219,2111906,0.009458,11832409,0.010470
4496,17984,0.000052,122091,0.000595,917185,0.000831
56732,226904,0.000217,2060143,0.009319,11573329,0.009487
22638,90543,0.000129,747220,0.003332,4618153,0.004154
84767,339026,0.000246,3202213,0.014622,17292469,0.016101
69621,278460,0.000240,2580101,0.012527,14202685,0.013506
88474,353869,0.000320,3354904,0.016206,18048697,0.018907
69384,277488,0.000310,2569782,0.012399,14154337,0.012775
25025,100091,0.000194,835639,0.003915,5105101,0.004779
95356,381406,0.000316,3642573,0.016892,19452625,0.019784
35666,142649,0.000180,1236115,0.005831,7275865,0.006402
89759,358994,0.000340,3409917,0.015756,18310837,0.015733
99700,398755,0.000309,3825051,0.017645,20338801,0.019983
8999,35996,0.000084,267054,0.001187,1835797,0.001513
55175,220673,0.000254,1998904,0.009638,11255701,0.010270
61090,244345,0.000226,2235498,0.010480,12462361,0.011222
96190,384730,0.000302,3678527,0.017612,19622761,0.017588
8414,33650,0.000084,247737,0.001031,1716457,0.001590
5582,22328,0.000062,156111,0.000751,1138729,0.001081
8816,35261,0.000095,260784,0.001112,1798465,0.001667
86448,345768,0.000293,3269705,0.015137,17635393,0.016877
47379,189504,0.000205,1690604,0.007723,9665317,0.007783
88873,355462,0.000275,3371561,0.015856,18130093,0.017366
45410,181631,0.000198,1612754,0.007787,9263641,0.008846
81253,324988,0.000316,3056222,0.014768,16575613,0.013943
1653,6612,0.000031,39039,0.000199,337213,0.000297
8477,33908,0.000095,249588,0.001073,1729309,0.001662
66623,266471,0.000241,2458912,0.011745,13591093,0.012399
44258,177020,0.000226,1567297,0.007508,9028633,0.008230
94289,377120,0.000315,3598019,0.016831,19234957,0.019297
39723,158880,0.000210,1392040,0.006613,8103493,0.007504
30836,123332,0.000173,1051721,0.005042,6290545,0.005802
26161,104635,0.000155,878350,0.004123,5336845,0.004782
8533,34129,0.000106,251412,0.001434,1740733,0.001659
34372,137476,0.000195,1186136,0.005658,7011889,0.006544
22668,90669,0.000149,749117,0.003531,4624273,0.004236
79103,316394,0.000277,2967518,0.013923,16137013,0.014222
78397,313573,0.000258,2938618,0.013771,15992989,0.013522
37551,150198,0.000218,1307590,0.006777,7660405,0.007124
5851,23401,0.000069,164545,0.000719,1193605,0.001146
85669,342646,0.000294,3237099,0.015020,17476477,0.016686
1616,6464,0.000026,37890,0.000191,329665,0.000314
89499,357972,0.000292,3398538,0.015934,18257797,0.017038
92948,371756,0.000282,3540867,0.016712,18961393,0.017788
83950,335785,0.000281,3167632,0.014240,17125801,0.016461
